Date,Open,High,Low,Close,Adj Close,Volume
2014-03-12,16.281668,16.553333,16.170000,16.538334,16.194714,12547800
2014-03-13,16.681667,16.723333,15.848333,15.988333,15.656140,17296800
2014-03-14,15.873333,16.135000,15.785000,15.841667,15.512521,13271400
2014-03-17,16.075001,16.383333,16.063334,16.258333,15.920527,11932200
2014-03-18,16.361668,16.681667,16.320000,16.620001,16.274687,10081800
2014-03-19,16.638332,16.695000,16.035000,16.371668,16.031506,13191000
2014-03-20,16.235001,16.666668,16.158333,16.629999,16.284470,12715800
2014-03-21,16.836666,16.961666,16.391666,16.445000,16.103319,10903800
2014-03-24,16.611668,16.668333,16.025000,16.231667,15.894415,13869000
2014-03-25,16.480000,16.631666,16.191668,16.471666,16.129433,14369400
2014-03-26,16.665001,16.735001,16.103333,16.103333,15.768746,12088200
2014-03-27,16.056667,16.200001,15.831667,16.008333,15.675725,14664000
2014-03-28,16.136667,16.480000,16.111668,16.233334,15.896050,10744800
2014-03-31,16.546667,16.713333,16.493334,16.638332,16.292635,12439200
2014-04-01,16.799999,16.996668,16.758333,16.971666,16.619036,11008800
2014-04-02,17.040001,17.203333,16.940001,17.146667,16.790405,9125400
2014-04-03,17.223333,17.230000,16.916668,17.063334,16.708807,8797200
2014-04-04,17.341667,17.363333,16.383333,16.469999,16.127794,19976400
2014-04-07,16.338333,16.423332,15.820000,15.905000,15.574534,22246800
2014-04-08,15.883333,16.190001,15.726667,16.116667,15.781807,13347000
2014-04-09,16.236668,16.645000,16.105000,16.635000,16.289370,11122800
2014-04-10,16.623333,16.653334,15.526667,15.580000,15.256290,18411000
2014-04-11,15.321667,15.643333,15.113333,15.156667,14.841751,16504800
2014-04-14,15.513333,15.623333,15.140000,15.510000,15.187746,9433200
2014-04-15,15.615000,15.865000,15.146667,15.830000,15.501096,15410400
2014-04-16,16.148333,16.333332,15.948333,16.328333,15.989076,8011200
2014-04-17,16.266666,16.530001,16.183332,16.391666,16.051090,8154600
2014-04-21,16.410000,16.578333,16.350000,16.578333,16.233879,5133000
2014-04-22,16.616667,16.926666,16.594999,16.785000,16.436251,8975400
2014-04-23,16.764999,16.798332,16.633333,16.681667,16.335064,5067600
2014-04-24,16.923332,16.923332,16.536667,16.781668,16.432991,7436400
2014-04-25,16.603333,16.635000,16.236668,16.361668,16.021717,9217800
2014-04-28,16.558332,16.728333,16.011667,16.514999,16.171867,13185000
2014-04-29,16.670000,16.816668,16.566668,16.746668,16.398716,8164200
2014-04-30,16.661667,16.940001,16.590000,16.913334,16.561918,8262000
2014-05-01,16.865000,17.035000,16.740000,16.905001,16.553759,8512200
2014-05-02,16.896667,17.113333,16.748333,16.836666,16.486847,8878200
2014-05-05,16.581667,16.955000,16.441668,16.924999,16.573347,6667800
2014-05-06,16.811666,16.840000,16.468332,16.483334,16.140854,7321200
2014-05-07,16.641666,16.786667,16.275000,16.775000,16.426456,9532200
2014-05-08,16.713333,17.073334,16.549999,16.718332,16.370970,7771800
2014-05-09,16.715000,16.805000,16.485001,16.798332,16.449305,6010200
2014-05-12,17.011667,17.299999,16.995001,17.271667,16.912806,10920000
2014-05-13,17.333332,17.451668,17.271667,17.321667,16.961773,5362800
2014-05-14,17.280001,17.296667,17.003332,17.073334,16.718597,5153400
2014-05-15,16.966667,16.983334,16.375000,16.606667,16.261623,14139000
2014-05-16,16.645000,16.811666,16.443333,16.798332,16.449305,6495000
2014-05-19,16.695000,17.016666,16.648333,16.981667,16.628832,4220400
2014-05-20,16.948334,16.955000,16.525000,16.651667,16.305687,7687200
2014-05-21,16.788334,17.096666,16.786667,17.066668,16.712067,5884800
2014-05-22,17.081667,17.305000,17.001667,17.203333,16.845890,4947000
2014-05-23,17.260000,17.440001,17.225000,17.405001,17.043375,7192200
2014-05-27,17.606667,17.736668,17.576668,17.733334,17.364883,4308000
2014-05-28,17.728333,17.806667,17.603333,17.683332,17.315924,5077200
2014-05-29,17.805000,17.961666,17.680000,17.958332,17.585207,4363200
2014-05-30,17.916668,18.080000,17.863333,18.033333,17.658649,5887800
2014-06-02,18.118334,18.133333,17.844999,18.113333,17.736990,4399800
2014-06-03,17.976667,18.106667,17.930000,18.084999,17.709240,4288200
2014-06-04,17.969999,18.216667,17.926666,18.173332,17.795738,6310800
2014-06-05,18.250000,18.598333,18.053333,18.549999,18.164579,6634800
